Buildnummer,Change
1,Beginn der Buildnummerierung
2,Entfernung der Uhrzeit beim Datenstand. Diese ist irrelevant
2,Kleine grammatikalische Änderungen
3,Changelog-Tab hinzugefügt
3,"Experimental"-Bereich im Changelog-Tab hinzugefügt
4,Laufzeitverbesserungen in der Komponentensuche
5,Eigene (noch experimentelle) Erkennung vegetarischer Gerichte im Speiseplan
6,Datenaktualisierung in der Erkennung vegetarischer Gerichte
